hot,info,rate,title,title2
"(
                    36931人评价
                )",[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,"
                肖申克的救赎

                
              ",Different Seasons
"(
                    40700人评价
                )",艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,7.8,"
                山楂树之恋

                
              ",
"(
                    36713人评价
                )",（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,9.0,"
                嫌疑人X的献身

                
              ",
"(
                    38195人评价
                )",唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.5,"
                华胥引（全二册）

                
              ",
"(
                    39029人评价
                )",幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,"
                地下铁

                
              ",
"(
                    39401人评价
                )",[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2,"
                无声告白

                
              ",Everything I Never Told You
"(
                    40775人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,7.7,"
                且听风吟

                
              ",風の歌を聴け
"(
                    41103人评价
                )",[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,"
                钢铁是怎样炼成的

                
              ",How the Steel Was Tempered
"(
                    42069人评价
                )",安意如 / 天津教育出版社 / 2006-8 / 23.80元,7.3,"
                人生若只如初见

                
                  ",
"(
                    38015人评价
                )",张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,"
                红玫瑰与白玫瑰

                
              ",
"(
                    38342人评价
                )",天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,8.1,"
                鬼吹灯之精绝古城

                
                  ",
"(
                    37742人评价
                )",太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,8.3,"
                人间失格

                
              ",人間失格
"(
                    34974人评价
                )",（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.1,"
                安徒生童话故事集

                
              ",
"(
                    35791人评价
                )",鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.8,"
                呐喊

                
              ",
"(
                    39752人评价
                )",张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,7.6,"
                小团圆

                
              ",
"(
                    41718人评价
                )",明晓溪 / 新世界出版社 / 2006-3 / 20.00元,7.0,"
                泡沫之夏

                
              ",
"(
                    42721人评价
                )",明晓溪 / 新世界出版社 / 2005-5 / 20.00元,6.8,"
                会有天使替我爱你

                
              ",
"(
                    38963人评价
                )",落落 / 春风文艺出版社 / 2005-2 / 20.00元,7.6,"
                年华是无效信

                
              ",
"(
                    37909人评价
                )",[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,7.8,"
                在路上

                
              ",On the Road
"(
                    38788人评价
                )",〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元,7.6,"
                幻夜

                
                  ",
"(
                    32026人评价
                )",金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,"
                射雕英雄传（全四册）

                
              ",
"(
                    35066人评价
                )",幾米 / 格林 / 2000-2-1 / NT$ 299,8.5,"
                月亮忘記了

                
              ",
"(
                    33881人评价
                )",当年明月 / 中国友谊出版公司 / 2007-4 / 24.80,8.9,"
                明朝那些事儿（叁）

                
                  ",
"(
                    33076人评价
                )",当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,"
                明朝那些事儿（1-9）

                
                  ",
"(
                    29593人评价
                )",三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,"
                哭泣的骆驼

                
              ",
"(
                    32782人评价
                )",[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00元,9.3,"
                1984

                
              ",Nineteen Eighty-Four
"(
                    37436人评价
                )",辛夷坞 / 朝华出版社 / 2007-10 / 25.00元,7.7,"
                原来你还在这里

                
              ",
"(
                    34450人评价
                )",张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,"
                半生缘

                
              ",
"(
                    34960人评价
                )",江南 / 华文出版社 / 2004-1 / 25.00元,8.3,"
                此间的少年

                
              ",
"(
                    38777人评价
                )",宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,7.3,"
                货币战争

                
              ",
"(
                    35647人评价
                )",匪我思存 / 新世界出版社 / 2007-2 / 20.00元,8.0,"
                佳期如梦

                
              ",
"(
                    34226人评价
                )",高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,"
                一個人住第5年

                
              ",
"(
                    34401人评价
                )",菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.3,"
                了不起的盖茨比

                
              ",The Great Gatsby
"(
                    32685人评价
                )",[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,"
                无人生还

                
              ",And Then There Were None
"(
                    34991人评价
                )",[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,8.1,"
                时间旅行者的妻子

                
              ",The Time Traveler´s Wife
"(
                    37034人评价
                )",安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,7.5,"
                告别薇安

                
              ",
"(
                    34701人评价
                )",梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,8.1,"
                常识

                
              ",
"(
                    34312人评价
                )",桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,"
                步步惊心

                
              ",
"(
                    32503人评价
                )",王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,"
                爱你就像爱生命

                
              ",
"(
                    35485人评价
                )",安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,7.7,"
                二三事

                
              ",
"(
                    36250人评价
                )",余华 / 上海文艺出版社 / 2006-3 / 27.00元,7.5,"
                兄弟（下）

                
              ",
"(
                    30837人评价
                )",三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,9.3,"
                撒哈拉的故事

                
              ",
"(
                    34048人评价
                )",蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.1,"
                孤独六讲

                
              ",
"(
                    35016人评价
                )",蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,7.7,"
                皮囊

                
              ",No More Than Skins
"(
                    30914人评价
                )",[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,9.2,"
                人类简史

                
                  ",A brief history of humankind
"(
                    33569人评价
                )",鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,8.0,"
                失恋33天

                
                  ",
"(
                    32999人评价
                )",南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元,8.2,"
                盗墓笔记2

                
                  ",
"(
                    31255人评价
                )",当年明月 / 中国友谊出版公司 / 2007-9 / 24.80,8.8,"
                明朝那些事儿（肆）

                
                  ",
"(
                    32764人评价
                )",(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元,8.3,"
                乌合之众

                
                  ",The Crowd: A Study of the Popular Mind
"(
                    30208人评价
                )",[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,"
                动物农场

                
              ",Animal Farm
"(
                    36463人评价
                )",饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元,7.1,"
                左耳

                
              ",
"(
                    27114人评价
                )",金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,"
                鹿鼎记（全五册）

                
              ",
"(
                    31070人评价
                )",[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,"
                荆棘鸟

                
              ",The Thorn Birds
"(
                    37509人评价
                )",郭敬明 / 上海译文出版社 / 2003-5 / 16.00元,6.7,"
                左手倒影，右手年华。

                
              ",
"(
                    35486人评价
                )",韩寒 / 上海人民出版社 / 2000-08 / 12.00,7.2,"
                零下一度

                
              ",
"(
                    35114人评价
                )",韩寒 / 作家出版社 / 2002-1 / 16.00元,7.3,"
                像少年啦飞驰

                
              ",
"(
                    29728人评价
                )",[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,"
                寻路中国

                
                  ",Country Driving: A Journey Through China from Farm to Factory
"(
                    33016人评价
                )",七堇年 / 长江文艺出版社 / 2007-11 / 22.00元,7.8,"
                被窝是青春的坟墓

                
              ",
"(
                    34139人评价
                )",廖信忠 / 重庆出版集团 / 2009-11 / 29.80元,7.4,"
                我们台湾这些年

                
                  ",
"(
                    32715人评价
                )",[日] 岩井俊二 / 张苓 / 天津人民出版社 / 2006-12 / 28.00元,7.7,"
                关于莉莉周的一切

                
              ",リリイ・シュシュのすべて
"(
                    32661人评价
                )",[日] 村上春树 / 施小炜 / 南海出版公司 / 2011-1 / 39.50元,7.6,"
                1Q84 BOOK 3

                
                  ",
"(
                    27631人评价
                )",藤子・F・不二雄 / 碧日 / 吉林美术出版社 / 1999-12 / 8.00,9.4,"
                机器猫哆啦A梦23

                
              ",
"(
                    29168人评价
                )",鲁迅 / 上海书店出版社 / 2003-7 / 14.50元,8.6,"
                阿Q正传

                
                  ",
"(
                    30245人评价
                )",七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,8.2,"
                大地之灯

                
              ",
"(
                    31738人评价
                )",大冰 / 湖南文艺出版社 / 2014-9-1 / 36.00元,7.5,"
                乖，摸摸头

                
              ",
"(
                    29094人评价
                )",[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,"
                麦琪的礼物

                
                  ",
"(
                    28436人评价
                )",当年明月 / 中国友谊出版公司 / 2008-3 / 28.80,8.8,"
                明朝那些事儿（伍）

                
                  ",
"(
                    29357人评价
                )",南派三叔 / 中国友谊出版公司 / 2007-11 / 26.80元,8.4,"
                盗墓笔记3

                
                  ",
"(
                    28297人评价
                )",格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,8.9,"
                格林童话全集

                
              ",
"(
                    28463人评价
                )",王小波 / 陕西师范大学出版社 / 2009-07-01 / 23.00元,8.8,"
                黄金时代

                
              ",
"(
                    29931人评价
                )",老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.2,"
                骆驼祥子

                
              ",
"(
                    29122人评价
                )",[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,8.4,"
                如何阅读一本书

                
              ",How to Read a Book
"(
                    30901人评价
                )",[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元,7.8,"
                当我们谈论爱情时我们在谈论什么

                
              ",What We Talk About When We Talk About Love
"(
                    29115人评价
                )",阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.4,"
                尘埃落定

                
              ",
"(
                    30630人评价
                )",张悦然 / 作家出版社 / 2005-1 / 19.00元,7.8,"
                水仙已乘鲤鱼去

                
              ",
"(
                    27462人评价
                )",林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0,"
                历史深处的忧虑

                
                  ",
"(
                    33368人评价
                )",[英]克莱儿·麦克福尔 / 付强 / 百花洲文艺出版社 / 2015-6-1 / 36.00,6.8,"
                摆渡人

                
              ",Ferryman
"(
                    34195人评价
                )",郭敬明 / 长江文艺出版社 / 2010-1 / 26.80元,6.5,"
                小时代2.0虚铜时代

                
              ",
"(
                    27271人评价
                )",八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.8,"
                你好，旧时光（上 下）

                
              ",玛丽苏病例报告
"(
                    28858人评价
                )",笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,8.1,"
                东霓

                
              ",
"(
                    28097人评价
                )",张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.5,"
                金锁记

                
              ",
"(
                    25733人评价
                )",尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,9.5,"
                海贼王

                
                  ",
"(
                    26535人评价
                )",东野圭吾 / 刘子倩 / 南海出版公司 / 2014-6 / 35.00元,9.0,"
                嫌疑人X的献身

                
              ",容疑者Xの献身
"(
                    27151人评价
                )",桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,8.5,"
                那些回不去的年少时光

                
              ",
"(
                    27649人评价
                )",安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,8.3,"
                橙

                
                  ",
"(
                    26385人评价
                )",[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,8.9,"
                悲惨世界（上中下）

                
              ",Les Misérables
"(
                    26604人评价
                )",龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.8,"
                孩子你慢慢来

                
              ",
"(
                    27294人评价
                )",南派三叔 / 中国友谊出版公司 / 2008-11 / 32.80元,8.4,"
                盗墓笔记4

                
                  ",
"(
                    29357人评价
                )",[美] 卡罗琳·帕克丝特 / 何致和 / 南海出版公司 / 2007-7 / 22.00元,7.7,"
                巴别塔之犬

                
              ",The Dogs of Babel
"(
                    26974人评价
                )",[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,"
                香水

                
                  ",
"(
                    26287人评价
                )",三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,"
                梦里花落知多少

                
              ",
"(
                    26171人评价
                )",王小波 / 北方文艺出版社 / 2006-4 / 18.80元,8.8,"
                一只特立独行的猪

                
              ",
"(
                    26098人评价
                )",[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,"
                史蒂夫·乔布斯传

                
              ",Steve Jobs: A Biography
"(
                    25996人评价
                )",[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,"
                看不见的城市

                
              ",Le città invisibili
"(
                    27165人评价
                )",王安忆 / 南海出版公司 / 2003-8 / 22.00元,8.2,"
                长恨歌

                
              ",
"(
                    26763人评价
                )",九夜茴 / 东方出版社 / 2008-1 / 29.00,8.3,"
                匆匆那年（上下）

                
              ",
"(
                    29637人评价
                )",孙睿 / 远方出版社 / 2004-1 / 19.50元,7.2,"
                草样年华

                
                  ",
"(
                    27124人评价
                )",【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,8.1,"
                一个人的朝圣

                
              ",The Unlikely Pilgrimage of Harold Fry
"(
                    25947人评价
                )",章诒和 / 人民文学出版社 / 2004-1 / 35.00元,8.6,"
                往事并不如烟

                
              ",
"(
                    27283人评价
                )",安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,8.0,"
                蔷薇岛屿

                
              ",
"(
                    25778人评价
                )",寂地 / 北方妇女儿童出版社 / 2004-10 / 20.00元,8.6,"
                我的路

                
              ",
"(
                    25083人评价
                )",[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元,9.0,"
                局外人

                
              ",L'Etranger
"(
                    25543人评价
                )",张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,8.7,"
                倾城之恋

                
              ",
"(
                    26572人评价
                )",（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,8.2,"
                菊与刀

                
                  ",The Chrysanthemum and the Sword
"(
                    25238人评价
                )",刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,"
                球状闪电

                
              ",
"(
                    24620人评价
                )",[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,"
                刀锋

                
              ",The Razor's Edge
"(
                    28710人评价
                )",[美] 斯宾塞·约翰逊 / 吴立俊 / 中信出版社 / 2001-9 / 16.80元,7.2,"
                谁动了我的奶酪？

                
              ",Who Moved My Cheese?
"(
                    24833人评价
                )",[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.8,"
                飞鸟集

                
              ",
"(
                    25163人评价
                )",沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,8.5,"
                七夜雪

                
              ",
"(
                    27071人评价
                )",舒仪 / 中国画报出版社 / 2009-3 / 23.80,7.6,"
                曾有一个人，爱我如生命

                
              ",
"(
                    25752人评价
                )",九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,8.2,"
                那些年，我们一起追的女孩

                
              ",
"(
                    25766人评价
                )",[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,8.1,"
                伊豆的舞女

                
              ",伊豆の踊子
"(
                    24830人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.5,"
                世界尽头与冷酷仙境

                
              ",世界の終りとハードボイルド・ワンダーランド
"(
                    23822人评价
                )",[英] 奥斯丁 / 王科一 / 上海译文出版社 / 1996-12 / 11.00元,9.0,"
                傲慢与偏见

                
              ",Pride and Prejudice
"(
                    25883人评价
                )",[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,8.0,"
                最初的爱情 最后的仪式

                
              ","First Love, Last Rites"
"(
                    25605人评价
                )",天下霸唱 / 安徽文艺出版社 / 2006-11 / 26.80元,8.0,"
                鬼吹灯之云南虫谷

                
              ",
"(
                    23653人评价
                )",当年明月 / 中国海关出版社 / 2009年 / 29.80元,9.0,"
                明朝那些事儿（柒）：大结局

                
              ",
"(
                    27298人评价
                )",[澳] 朗达·拜恩 / 谢明宪 / 中国城市出版社 / 2008-11 / 32.00,7.3,"
                秘密

                
              ",
"(
                    25246人评价
                )",[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,8.2,"
                天使与魔鬼

                
              ",Angels & Demons
"(
                    24521人评价
                )",李笑来 / 电子工业出版社 / 2009-6 / 32.00元,8.5,"
                把时间当作朋友

                
                  ",
"(
                    25748人评价
                )",古典 / 中国书店 / 2010-9 / 29.80元,7.9,"
                拆掉思维里的墙

                
                  ",
"(
                    25106人评价
                )",李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,8.2,"
                佛祖在一号线

                
              ",
"(
                    23663人评价
                )",当年明月 / 中国海关出版社 / 2008-11 / 28.80,8.9,"
                明朝那些事儿（陆）

                
                  ",
"(
                    23345人评价
                )",hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,9.0,"
                阿狸·梦之城堡

                
              ",
"(
                    24292人评价
                )",金庸 / 三联书店 / 1999-04 / 0,8.5,"
                倚天屠龙记(共四册)

                
              ",
"(
                    27095人评价
                )",李可 / 陕西师范大学出版社 / 2009-1 / 28.00,7.3,"
                杜拉拉2华年似水

                
                  ",
"(
                    26202人评价
                )",落落 / 长江文艺出版社 / 2007-12 / 22.00,7.6,"
                不朽

                
              ",
